workerId,answerPrice,zpid,city,zipcode,latitude,longitude,garageSpaces,hasCooling,hasHeating,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
2,250000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
3,220000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
4,2000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
5,1000000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
1,300000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
2,400000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
3,500000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
4,1000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
5,1000000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
